name,SubCategory,OS,Country,City,Support Group,Virtual,Shared
0024E86FB717-CLV01L1,Windows,,BELGIUM,BEERSE,WINDOWS L1,FALSE,FALSE
0024E87E0E9A-1MV01L1,Windows,,BELGIUM,BEERSE,WINDOWS L1,FALSE,FALSE
0024E87E8ABF-6QYC0L1,Windows,,BELGIUM,BEERSE,WINDOWS L1,FALSE,FALSE
0024E87EA612-BQYC0L1,Windows,,BELGIUM,BEERSE,WINDOWS L1,FALSE,FALSE
0024E87EE557-5X1B0L1,Windows,,BELGIUM,BEERSE,WINDOWS L1,FALSE,FALSE
006H353B,Unix,SunOS,UNITED STATES,RARITAN,UNIX L1,FALSE,FALSE
007H2343,Unix,SunOS,UNITED STATES,RARITAN,UNIX L1,FALSE,FALSE
014A13F7,Unix,,BELGIUM,BEERSE,UNIX L1,FALSE,FALSE
0151-1240-9652-3276-1305-7182-43,Server,,,,,TRUE,FALSE
016A037F,Unix,SunOS,BELGIUM,BEERSE,UNIX L1,FALSE,FALSE
021AR9VVS4VI,Windows,,CHINA,SHANGHAI,WINDOWS L1,FALSE,FALSE
021BD9VWK9OW,Windows,,RUSSIA,MOSCOW,WINDOWS L1,FALSE,FALSE
021BD9VWN64K,Windows,,CHINA,BEIJING,WINDOWS L1,FALSE,FALSE
040C00BF,Unix,SunOS,UNITED STATES,RARITAN,UNIX L1,FALSE,FALSE
0415-2798-6287-6788-1535-3441-06,Server,,,,,TRUE,FALSE
042H3EE3,Unix,SunOS,UNITED STATES,RARITAN,UNIX L1,FALSE,FALSE
042H3EE9,Unix,SunOS,UNITED STATES,RARITAN,UNIX L1,FALSE,FALSE
0434AD1011,Unix,SunOS,UNITED STATES,RARITAN,UNIX L1,FALSE,FALSE
043C1EB7,Unix,SunOS,UNITED STATES,RARITAN,UNIX L1,FALSE,FALSE
044C01DD,Unix,SunOS,UNITED STATES,RARITAN,UNIX L1,FALSE,FALSE
044C029B,Unix,SunOS,UNITED STATES,RARITAN,UNIX L1,FALSE,FALSE
044C143E,Unix,SunOS,UNITED STATES,RARITAN,UNIX L1,FALSE,FALSE
044C1445,Unix,SunOS,UNITED STATES,RARITAN,UNIX L1,FALSE,FALSE
044C1512,Unix,SunOS,UNITED STATES,RARITAN,UNIX L1,FALSE,FALSE
044C1527,Unix,,UNITED STATES,RARITAN,UNIX L1,FALSE,FALSE
045C31EA,Unix,SunOS,UNITED STATES,RARITAN,UNIX L1,FALSE,FALSE
0522AD803B,Unix,SunOS,UNITED STATES,RARITAN,UNIX L1,FALSE,TRUE
0524AD82B5,Unix,SunOS,UNITED STATES,RARITAN,UNIX L1,FALSE,FALSE
0527AN000B,Unix,SunOS,UNITED STATES,RARITAN,UNIX L1,FALSE,FALSE
0533AL5848,Unix,SunOS,BELGIUM,BEERSE,UNIX L1,FALSE,FALSE
06KGL49,Windows,,UNITED STATES,SPRING HOUSE,WINDOWS L1,FALSE,FALSE
0712-5496-6119-2545-7639-6195-12,Windows,,UNITED STATES,MORRIS PLAINS,WINDOWS L1,TRUE,FALSE
0828QAT0D7,Windows,,UNITED STATES,RARITAN,BUIT MANAGED,FALSE,FALSE
0828QAT0FD,Windows,,UNITED STATES,RARITAN,BUIT MANAGED,FALSE,FALSE
0828QAT133,Windows,,UNITED STATES,RARITAN,BUIT MANAGED,FALSE,FALSE
0828QAT13E,Windows,,UNITED STATES,RARITAN,BUIT MANAGED,FALSE,FALSE
0838QBT04D,Windows,,BELGIUM,BEERSE,BUIT MANAGED,FALSE,FALSE
